question,retrieved_source,top_score,answer,context_relevant,grounded,correct,latency_s
What is retrieval-augmented generation and why is it used?,self_rag.pdf (p. 12); ragas_evaluation.pdf (p. 1); self_rag.pdf (p. 2); self_rag.pdf (p. 1),0.6206,"Retrieval-augmented generation is a technique that augments the input space of LMs with retrieved text passages, leading to large improvements in knowledge-intensive tasks after fine-tuning or using off-the-shelf LMs [3]...",True,True,True,1.89
Which embedding model is recommended for semantic search on short chunks?,rag_knowledge_intensive_nlp.pdf (p. 4); dense_passage_retrieval.pdf (p. 1); dense_passage_retrieval.pdf (p. 9); dense_passage_retrieval.pdf (p. 3),0.5753,I could not find this in the provided documents.,True,True,False,0.61
How does chunk overlap affect retrieval quality?,dense_passage_retrieval.pdf (p. 2); rag_knowledge_intensive_nlp.pdf (p. 19); rag_knowledge_intensive_nlp.pdf (p. 8),0.54,"I could not find any mention of ""chunk overlap"" in the provided passages.",True,False,False,0.66
What is a vector database used for in this pipeline?,attention_is_all_you_need.pdf (p. 4); attention_is_all_you_need.pdf (p. 1); dense_passage_retrieval.pdf (p. 2); rag_knowledge_intensive_nlp.pdf (p. 6),0.379,I could not find this in the provided documents.,True,True,False,0.55
How is cosine similarity computed between a question and a chunk?,dense_passage_retrieval.pdf (p. 3); ragas_evaluation.pdf (p. 3); dense_passage_retrieval.pdf (p. 2),0.6234,I could not find this in the provided documents.,True,True,False,0.51
What causes an LLM to hallucinate an answer?,ragas_evaluation.pdf (p. 2),0.5973,I could not find this in the provided documents.,True,True,False,0.48
What are the main limitations described in the documents?,rag_knowledge_intensive_nlp.pdf (p. 6); lost_in_the_middle.pdf (p. 12); lost_in_the_middle.pdf (p. 1); rag_knowledge_intensive_nlp.pdf (p. 10),0.3496,"The main limitations described in the documents are:  * The RAG-Token model's performance degrades significantly when the location of relevant information within the input context is changed, as shown in Figure 1 [3]. * ...",True,True,True,3.54
Summarise the evaluation method used in the documents.,rag_knowledge_intensive_nlp.pdf (p. 5); ragas_evaluation.pdf (p. 1); ragas_evaluation.pdf (p. 2); rag_knowledge_intensive_nlp.pdf (p. 17),0.462,"The evaluation method used in the documents is primarily based on automated evaluation, such as measuring perplexity on a reference corpus [2]. Additionally, human evaluation is used, where annotators assess the factuali...",True,True,True,2.01
What preprocessing steps are applied to the raw text?,dense_passage_retrieval.pdf (p. 4); self_rag.pdf (p. 3); rag_knowledge_intensive_nlp.pdf (p. 13); rag_knowledge_intensive_nlp.pdf (p. 3),0.4273,"According to [1], the pre-processing code released in DrQA is used to extract the clean, text-portion of passages, if needed, and criticize the output by learning to generate special tokens. These reflection tokens signa...",True,True,True,2.75
Who won the football World Cup in 2014?,rag_knowledge_intensive_nlp.pdf (p. 5); self_rag.pdf (p. 17); self_rag.pdf (p. 3),0.2041,I could not find this in the provided documents.,True,True,True,0.55
